date,alpha,beta,eta,lambda,epsilon,gamma,iota,delta,mu,omicron,alpha_rel,beta_rel,eta_rel,lambda_rel,epsilon_rel,gamma_rel,iota_rel,delta_rel,mu_rel,omicron_rel,other,other_rel,sum,ba1,ba1_rel,ba2,ba2_rel,ba3,ba3_rel
2021-03-15,589,10,11,1,0,1,0,0,0,0,0.7053892215568862,0.011976047904191617,0.013173652694610778,0.0011976047904191617,0.0,0.0011976047904191617,0.0,0.0,0.0,0.0,223,0.26706586826347306,835,0,0.0,0,0.0,0,0.0
2021-03-16,458,7,7,1,0,3,0,0,0,0,0.720125786163522,0.0110062893081761,0.0110062893081761,0.0015723270440251573,0.0,0.0047169811320754715,0.0,0.0,0.0,0.0,160,0.25157232704402516,636,0,0.0,0,0.0,0,0.0
2021-03-17,510,11,5,1,0,0,0,0,0,0,0.7359307359307359,0.015873015873015872,0.007215007215007215,0.001443001443001443,0.0,0.0,0.0,0.0,0.0,0.0,166,0.23953823953823955,693,2,0.002886002886002886,0,0.0,0,0.0
2021-03-18,469,3,9,0,0,0,0,0,0,0,0.7149390243902439,0.004573170731707317,0.013719512195121951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175,0.26676829268292684,656,0,0.0,0,0.0,0,0.0
2021-03-19,518,6,4,0,0,2,0,0,0,0,0.7860394537177542,0.009104704097116844,0.006069802731411229,0.0,0.0,0.0030349013657056147,0.0,0.0,0.0,0.0,129,0.19575113808801214,659,0,0.0,0,0.0,0,0.0
2021-03-20,311,5,6,3,0,1,0,0,0,0,0.783375314861461,0.012594458438287154,0.015113350125944584,0.007556675062972292,0.0,0.0025188916876574307,0.0,0.0,0.0,0.0,71,0.17884130982367757,397,0,0.0,0,0.0,0,0.0
2021-03-21,145,8,5,0,0,1,0,0,0,0,0.7142857142857143,0.03940886699507389,0.024630541871921183,0.0,0.0,0.0049261083743842365,0.0,0.0,0.0,0.0,44,0.21674876847290642,203,0,0.0,0,0.0,0,0.0
2021-03-22,595,12,16,0,0,0,0,1,0,0,0.7446808510638298,0.015018773466833541,0.02002503128911139,0.0,0.0,0.0,0.0,0.0012515644555694619,0.0,0.0,175,0.2190237797246558,799,0,0.0,0,0.0,0,0.0
2021-03-23,351,14,9,0,0,0,0,0,0,0,0.7034068136272545,0.028056112224448898,0.018036072144288578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125,0.250501002004008,499,1,0.002004008016032064,0,0.0,0,0.0
2021-03-24,526,16,7,0,0,0,0,2,0,0,0.7746686303387335,0.023564064801178203,0.010309278350515464,0.0,0.0,0.0,0.0,0.0029455081001472753,0.0,0.0,128,0.18851251840942562,679,1,0.0014727540500736377,0,0.0,0,0.0
2021-03-25,473,5,3,1,0,0,0,0,0,0,0.8269230769230769,0.008741258741258742,0.005244755244755245,0.0017482517482517483,0.0,0.0,0.0,0.0,0.0,0.0,90,0.15734265734265734,572,1,0.0017482517482517483,0,0.0,0,0.0
2021-03-26,576,11,6,0,0,0,0,0,0,0,0.8483063328424153,0.016200294550810016,0.008836524300441826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86,0.12665684830633284,679,0,0.0,0,0.0,0,0.0
2021-03-27,173,0,1,0,0,0,0,0,0,0,0.8826530612244898,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.11224489795918367,196,0,0.0,0,0.0,0,0.0
2021-03-28,179,1,1,0,0,0,0,0,0,0,0.9086294416243654,0.005076142131979695,0.005076142131979695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.08121827411167512,197,0,0.0,0,0.0,0,0.0
2021-03-29,658,11,11,1,0,0,0,0,0,0,0.8567708333333334,0.014322916666666666,0.014322916666666666,0.0013020833333333333,0.0,0.0,0.0,0.0,0.0,0.0,87,0.11328125,768,0,0.0,0,0.0,0,0.0
2021-03-30,494,8,8,2,0,1,0,0,0,0,0.8178807947019867,0.013245033112582781,0.013245033112582781,0.0033112582781456954,0.0,0.0016556291390728477,0.0,0.0,0.0,0.0,91,0.15066225165562913,604,0,0.0,0,0.0,0,0.0
2021-03-31,657,14,9,0,0,3,0,0,0,0,0.8644736842105263,0.018421052631578946,0.011842105263157895,0.0,0.0,0.003947368421052632,0.0,0.0,0.0,0.0,77,0.1013157894736842,760,0,0.0,0,0.0,0,0.0
2021-04-01,733,7,3,2,0,2,0,0,0,0,0.8778443113772455,0.008383233532934131,0.003592814371257485,0.0023952095808383233,0.0,0.0023952095808383233,0.0,0.0,0.0,0.0,88,0.10538922155688622,835,0,0.0,0,0.0,0,0.0
2021-04-02,393,3,5,0,0,0,0,0,0,0,0.9268867924528302,0.007075471698113208,0.01179245283018868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.054245283018867926,424,1,0.0023584905660377358,0,0.0,0,0.0
2021-04-03,169,3,3,2,0,2,0,0,0,0,0.8325123152709359,0.014778325123152709,0.014778325123152709,0.009852216748768473,0.0,0.009852216748768473,0.0,0.0,0.0,0.0,24,0.11822660098522167,203,1,0.0049261083743842365,0,0.0,0,0.0
2021-04-04,147,2,1,0,0,0,1,0,0,0,0.9130434782608695,0.012422360248447204,0.006211180124223602,0.0,0.0,0.0,0.006211180124223602,0.0,0.0,0.0,10,0.062111801242236024,161,0,0.0,0,0.0,0,0.0
2021-04-05,236,3,3,4,0,0,0,0,0,0,0.8676470588235294,0.011029411764705883,0.011029411764705883,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,26,0.09558823529411764,272,0,0.0,0,0.0,0,0.0
2021-04-06,670,12,9,1,0,2,0,0,0,0,0.8735332464146024,0.01564537157757497,0.011734028683181226,0.001303780964797914,0.0,0.002607561929595828,0.0,0.0,0.0,0.0,73,0.09517601043024772,767,0,0.0,0,0.0,0,0.0
2021-04-07,722,25,8,2,0,5,0,1,0,0,0.8626045400238949,0.02986857825567503,0.009557945041816009,0.0023894862604540022,0.0,0.005973715651135006,0.0,0.0011947431302270011,0.0,0.0,74,0.0884109916367981,837,0,0.0,0,0.0,0,0.0
2021-04-08,732,16,9,1,0,2,0,0,0,0,0.8905109489051095,0.019464720194647202,0.010948905109489052,0.0012165450121654502,0.0,0.0024330900243309003,0.0,0.0,0.0,0.0,62,0.07542579075425791,822,0,0.0,0,0.0,0,0.0
2021-04-09,707,12,8,0,0,1,0,1,0,0,0.8960709759188846,0.015209125475285171,0.010139416983523447,0.0,0.0,0.0012674271229404308,0.0,0.0012674271229404308,0.0,0.0,60,0.07604562737642585,789,0,0.0,0,0.0,0,0.0
2021-04-10,322,4,5,1,0,0,0,0,0,0,0.8895027624309392,0.011049723756906077,0.013812154696132596,0.0027624309392265192,0.0,0.0,0.0,0.0,0.0,0.0,30,0.08287292817679558,362,0,0.0,0,0.0,0,0.0
2021-04-11,110,3,0,0,0,0,0,0,0,0,0.9016393442622951,0.02459016393442623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.07377049180327869,122,0,0.0,0,0.0,0,0.0
2021-04-12,688,14,10,0,0,3,2,0,0,0,0.8686868686868687,0.017676767676767676,0.012626262626262626,0.0,0.0,0.003787878787878788,0.0025252525252525255,0.0,0.0,0.0,75,0.0946969696969697,792,0,0.0,0,0.0,0,0.0
2021-04-13,743,25,11,3,0,1,0,0,0,0,0.8559907834101382,0.02880184331797235,0.012672811059907835,0.0034562211981566822,0.0,0.001152073732718894,0.0,0.0,0.0,0.0,85,0.097926267281106,868,0,0.0,0,0.0,0,0.0
2021-04-14,622,9,9,0,0,1,0,2,0,0,0.8785310734463276,0.012711864406779662,0.012711864406779662,0.0,0.0,0.0014124293785310734,0.0,0.002824858757062147,0.0,0.0,65,0.09180790960451977,708,0,0.0,0,0.0,0,0.0
2021-04-15,797,11,14,0,0,4,0,0,0,0,0.9150401836969001,0.012629161882893225,0.016073478760045924,0.0,0.0,0.004592422502870264,0.0,0.0,0.0,0.0,45,0.05166475315729047,871,0,0.0,0,0.0,0,0.0
2021-04-16,816,23,10,0,0,2,0,1,0,0,0.8850325379609545,0.024945770065075923,0.010845986984815618,0.0,0.0,0.0021691973969631237,0.0,0.0010845986984815619,0.0,0.0,70,0.07592190889370933,922,1,0.0010845986984815619,0,0.0,0,0.0
2021-04-17,183,7,0,0,0,0,0,1,0,0,0.8840579710144928,0.033816425120772944,0.0,0.0,0.0,0.0,0.0,0.004830917874396135,0.0,0.0,16,0.07729468599033816,207,0,0.0,0,0.0,0,0.0
2021-04-18,83,0,1,0,1,0,0,1,0,0,0.8924731182795699,0.0,0.010752688172043012,0.0,0.010752688172043012,0.0,0.0,0.010752688172043012,0.0,0.0,7,0.07526881720430108,93,0,0.0,0,0.0,0,0.0
2021-04-19,761,6,15,1,0,3,0,4,1,0,0.8942420681551116,0.007050528789659225,0.01762632197414806,0.0011750881316098707,0.0,0.0035252643948296123,0.0,0.004700352526439483,0.0011750881316098707,0.0,60,0.07050528789659224,851,0,0.0,0,0.0,0,0.0
2021-04-20,633,8,9,1,0,2,0,5,1,0,0.8743093922651933,0.011049723756906077,0.012430939226519336,0.0013812154696132596,0.0,0.0027624309392265192,0.0,0.006906077348066298,0.0013812154696132596,0.0,65,0.08977900552486189,724,0,0.0,0,0.0,0,0.0
2021-04-21,740,14,14,0,0,3,0,6,0,0,0.8799048751486326,0.016646848989298454,0.016646848989298454,0.0,0.0,0.0035671819262782403,0.0,0.007134363852556481,0.0,0.0,64,0.07609988109393578,841,0,0.0,0,0.0,0,0.0
2021-04-22,823,6,3,1,0,3,0,9,0,0,0.9331065759637188,0.006802721088435374,0.003401360544217687,0.0011337868480725624,0.0,0.003401360544217687,0.0,0.01020408163265306,0.0,0.0,37,0.04195011337868481,882,0,0.0,0,0.0,0,0.0
2021-04-23,781,6,4,1,0,5,0,8,1,0,0.9070847851335656,0.006968641114982578,0.004645760743321719,0.0011614401858304297,0.0,0.005807200929152149,0.0,0.009291521486643438,0.0011614401858304297,0.0,55,0.06387921022067364,861,0,0.0,0,0.0,0,0.0
2021-04-24,423,4,3,0,0,0,0,2,0,0,0.94,0.008888888888888889,0.006666666666666667,0.0,0.0,0.0,0.0,0.0044444444444444444,0.0,0.0,18,0.04,450,0,0.0,0,0.0,0,0.0
2021-04-25,198,0,0,0,0,1,0,0,0,0,0.9611650485436893,0.0,0.0,0.0,0.0,0.0048543689320388345,0.0,0.0,0.0,0.0,7,0.03398058252427184,206,0,0.0,0,0.0,0,0.0
2021-04-26,760,10,2,3,0,11,2,12,0,0,0.89728453364817,0.011806375442739079,0.0023612750885478157,0.0035419126328217238,0.0,0.012987012987012988,0.0023612750885478157,0.014167650531286895,0.0,0.0,47,0.05548996458087367,847,0,0.0,0,0.0,0,0.0
2021-04-27,616,4,7,0,0,3,0,10,1,0,0.8700564971751412,0.005649717514124294,0.009887005649717515,0.0,0.0,0.00423728813559322,0.0,0.014124293785310734,0.0014124293785310734,0.0,67,0.09463276836158192,708,0,0.0,0,0.0,0,0.0
2021-04-28,423,4,6,1,0,8,0,12,0,0,0.8794178794178794,0.008316008316008316,0.012474012474012475,0.002079002079002079,0.0,0.016632016632016633,0.0,0.02494802494802495,0.0,0.0,27,0.056133056133056136,481,0,0.0,0,0.0,0,0.0
2021-04-29,681,2,15,2,0,9,2,13,0,0,0.8948751642575559,0.002628120893561104,0.01971090670170828,0.002628120893561104,0.0,0.011826544021024968,0.002628120893561104,0.017082785808147174,0.0,0.0,37,0.04862023653088042,761,0,0.0,0,0.0,0,0.0
2021-04-30,655,7,3,1,0,8,0,3,0,0,0.9212376933895922,0.009845288326300985,0.004219409282700422,0.0014064697609001407,0.0,0.011251758087201125,0.0,0.004219409282700422,0.0,0.0,34,0.04781997187060478,711,0,0.0,0,0.0,0,0.0
2021-05-01,182,1,2,0,0,2,0,1,0,0,0.9054726368159204,0.004975124378109453,0.009950248756218905,0.0,0.0,0.009950248756218905,0.0,0.004975124378109453,0.0,0.0,13,0.06467661691542288,201,0,0.0,0,0.0,0,0.0
2021-05-02,174,1,0,1,0,0,0,3,0,0,0.9405405405405406,0.005405405405405406,0.0,0.005405405405405406,0.0,0.0,0.0,0.016216216216216217,0.0,0.0,6,0.032432432432432434,185,0,0.0,0,0.0,0,0.0
2021-05-03,1217,42,16,2,0,8,0,12,2,0,0.8699070764832023,0.03002144388849178,0.01143674052894925,0.0014295925661186562,0.0,0.005718370264474625,0.0,0.008577555396711936,0.0014295925661186562,0.0,100,0.07147962830593281,1399,1,0.0007147962830593281,0,0.0,0,0.0
2021-05-04,687,29,21,2,0,7,0,16,0,0,0.8337378640776699,0.03519417475728155,0.025485436893203883,0.0024271844660194173,0.0,0.00849514563106796,0.0,0.019417475728155338,0.0,0.0,62,0.07524271844660194,824,0,0.0,0,0.0,0,0.0
2021-05-05,539,23,4,0,0,3,1,20,1,0,0.8408736349453978,0.0358814352574103,0.0062402496099844,0.0,0.0,0.0046801872074883,0.0015600624024961,0.031201248049921998,0.0015600624024961,0.0,50,0.078003120124805,641,0,0.0,0,0.0,0,0.0
2021-05-06,617,6,8,0,0,4,0,13,0,0,0.902046783625731,0.008771929824561403,0.011695906432748537,0.0,0.0,0.005847953216374269,0.0,0.019005847953216373,0.0,0.0,36,0.05263157894736842,684,0,0.0,0,0.0,0,0.0
2021-05-07,772,16,17,1,0,10,0,16,0,0,0.8802736602052451,0.018244013683010263,0.019384264538198404,0.0011402508551881414,0.0,0.011402508551881414,0.0,0.018244013683010263,0.0,0.0,45,0.05131128848346636,877,0,0.0,0,0.0,0,0.0
2021-05-08,281,8,8,0,0,9,0,12,0,0,0.8144927536231884,0.02318840579710145,0.02318840579710145,0.0,0.0,0.02608695652173913,0.0,0.034782608695652174,0.0,0.0,27,0.0782608695652174,345,0,0.0,0,0.0,0,0.0
2021-05-09,113,2,0,0,0,4,0,2,1,0,0.889763779527559,0.015748031496062992,0.0,0.0,0.0,0.031496062992125984,0.0,0.015748031496062992,0.007874015748031496,0.0,5,0.03937007874015748,127,0,0.0,0,0.0,0,0.0
2021-05-10,915,10,4,0,0,1,0,15,3,0,0.9131736526946108,0.00998003992015968,0.003992015968063872,0.0,0.0,0.000998003992015968,0.0,0.014970059880239521,0.0029940119760479044,0.0,54,0.05389221556886228,1002,0,0.0,0,0.0,0,0.0
2021-05-11,543,13,10,2,0,5,0,15,1,0,0.8564668769716088,0.02050473186119874,0.015772870662460567,0.0031545741324921135,0.0,0.007886435331230283,0.0,0.02365930599369085,0.0015772870662460567,0.0,45,0.07097791798107256,634,0,0.0,0,0.0,0,0.0
2021-05-12,764,12,7,1,0,2,0,19,1,0,0.8662131519274376,0.013605442176870748,0.007936507936507936,0.0011337868480725624,0.0,0.0022675736961451248,0.0,0.021541950113378686,0.0011337868480725624,0.0,76,0.08616780045351474,882,0,0.0,0,0.0,0,0.0
2021-05-13,262,3,4,0,0,2,0,11,0,0,0.8851351351351351,0.010135135135135136,0.013513513513513514,0.0,0.0,0.006756756756756757,0.0,0.037162162162162164,0.0,0.0,14,0.0472972972972973,296,0,0.0,0,0.0,0,0.0
2021-05-14,659,6,5,3,0,1,0,27,2,0,0.8881401617250674,0.008086253369272238,0.006738544474393531,0.004043126684636119,0.0,0.0013477088948787063,0.0,0.03638814016172507,0.0026954177897574125,0.0,39,0.05256064690026954,742,0,0.0,0,0.0,0,0.0
2021-05-15,547,12,7,0,0,2,0,18,0,0,0.9177852348993288,0.020134228187919462,0.01174496644295302,0.0,0.0,0.003355704697986577,0.0,0.030201342281879196,0.0,0.0,10,0.016778523489932886,596,0,0.0,0,0.0,0,0.0
2021-05-16,144,0,1,1,0,3,0,6,0,0,0.8944099378881988,0.0,0.006211180124223602,0.006211180124223602,0.0,0.018633540372670808,0.0,0.037267080745341616,0.0,0.0,6,0.037267080745341616,161,0,0.0,0,0.0,0,0.0
2021-05-17,899,5,2,0,0,2,0,23,1,0,0.9287190082644629,0.005165289256198347,0.002066115702479339,0.0,0.0,0.002066115702479339,0.0,0.023760330578512397,0.0010330578512396695,0.0,36,0.0371900826446281,968,0,0.0,0,0.0,0,0.0
2021-05-18,641,7,1,1,0,4,0,24,1,0,0.8915159944367177,0.009735744089012517,0.0013908205841446453,0.0013908205841446453,0.0,0.005563282336578581,0.0,0.03337969401947149,0.0013908205841446453,0.0,40,0.055632823365785816,719,0,0.0,0,0.0,0,0.0
2021-05-19,699,12,9,0,1,9,0,21,1,0,0.8893129770992366,0.015267175572519083,0.011450381679389313,0.0,0.001272264631043257,0.011450381679389313,0.0,0.026717557251908396,0.001272264631043257,0.0,34,0.043256997455470736,786,0,0.0,0,0.0,0,0.0
2021-05-20,567,2,2,0,0,4,0,19,0,0,0.9028662420382165,0.0031847133757961785,0.0031847133757961785,0.0,0.0,0.006369426751592357,0.0,0.030254777070063694,0.0,0.0,34,0.054140127388535034,628,0,0.0,0,0.0,0,0.0
2021-05-21,573,1,0,0,0,8,0,13,0,0,0.925686591276252,0.0016155088852988692,0.0,0.0,0.0,0.012924071082390954,0.0,0.0210016155088853,0.0,0.0,24,0.03877221324717286,619,0,0.0,0,0.0,0,0.0
2021-05-22,263,1,0,0,0,2,0,19,1,0,0.8708609271523179,0.0033112582781456954,0.0,0.0,0.0,0.006622516556291391,0.0,0.06291390728476821,0.0033112582781456954,0.0,16,0.052980132450331126,302,0,0.0,0,0.0,0,0.0
2021-05-23,94,0,1,0,0,0,0,6,0,0,0.8952380952380953,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.0,4,0.0380952380952381,105,0,0.0,0,0.0,0,0.0
2021-05-24,143,2,0,0,0,2,0,6,1,0,0.8881987577639752,0.012422360248447204,0.0,0.0,0.0,0.012422360248447204,0.0,0.037267080745341616,0.006211180124223602,0.0,7,0.043478260869565216,161,0,0.0,0,0.0,0,0.0
2021-05-25,623,2,2,0,0,3,0,15,3,0,0.9270833333333334,0.002976190476190476,0.002976190476190476,0.0,0.0,0.004464285714285714,0.0,0.022321428571428572,0.004464285714285714,0.0,24,0.03571428571428571,672,0,0.0,0,0.0,0,0.0
2021-05-26,601,6,2,0,1,5,3,25,1,0,0.9037593984962407,0.009022556390977444,0.0030075187969924814,0.0,0.0015037593984962407,0.007518796992481203,0.004511278195488722,0.03759398496240601,0.0015037593984962407,0.0,21,0.031578947368421054,665,0,0.0,0,0.0,0,0.0
2021-05-27,564,1,2,1,0,5,0,24,0,0,0.9082125603864735,0.001610305958132045,0.00322061191626409,0.001610305958132045,0.0,0.008051529790660225,0.0,0.03864734299516908,0.0,0.0,24,0.03864734299516908,621,0,0.0,0,0.0,0,0.0
2021-05-28,531,5,1,1,0,7,0,19,0,0,0.9123711340206185,0.00859106529209622,0.001718213058419244,0.001718213058419244,0.0,0.012027491408934709,0.0,0.03264604810996564,0.0,0.0,18,0.030927835051546393,582,0,0.0,0,0.0,0,0.0
